name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_capacity,TripType,ChargeType,ControlRatio
B11000369,0,0.0,435243.0,0.0,0.0,435243.0,128.0,955.0512000000001,696.3888000000001,258.66240000000005,False,Office,V2B,0
B11000372,0,0.0,923233.0,0.0,0.0,923233.0,235.0,1952.0608000000002,1477.1728,474.8880000000001,False,Office,V2B,0
B11000374,0,0.0,851824.0,0.0,0.0,851824.0,329.0,2027.7616000000003,1362.9184,664.8432000000001,False,Office,V2B,0
B11000375,0,0.0,1941654.0,0.0,0.0,1941654.0,284.0,3680.5536,3106.6464,573.9072000000001,False,Office,V2B,0
B11000376,0,0.0,365835.0,0.0,0.0,365835.0,110.0,807.624,585.336,222.28800000000004,False,Office,V2B,0
B11000377,0,0.0,799369.0,0.0,0.0,799369.0,201.0,1685.1712000000002,1278.9904000000001,406.1808000000001,False,Office,V2B,0
B11000378,0,0.0,1235288.0,0.0,0.0,1235288.0,303.0,2588.7632000000003,1976.4608,612.3024000000001,False,Office,V2B,0
B11000379,0,0.0,271660.0,0.0,0.0,271660.0,69.0,574.0912000000001,434.656,139.43520000000004,False,Office,V2B,0
B11000380,0,0.0,223919.0,0.0,0.0,223919.0,84.0,528.0176,358.2704,169.74720000000002,False,Office,V2B,0
B11000381,0,0.0,769114.0,0.0,0.0,769114.0,227.0,1689.304,1230.5824,458.7216000000001,False,Office,V2B,0
B11000382,0,0.0,457844.0,0.0,0.0,457844.0,91.0,916.4432000000002,732.5504000000001,183.89280000000002,False,Office,V2B,0
B11000383,0,0.0,2060632.0,0.0,0.0,2060632.0,573.0,4454.9296,3297.0112000000004,1157.9184000000002,False,Office,V2B,0
B11000384,0,0.0,619799.0,0.0,0.0,619799.0,175.0,1345.3184,991.6784,353.64000000000004,False,Office,V2B,0
B11000386,0,0.0,173525.0,0.0,0.0,173525.0,35.0,348.368,277.64,70.72800000000001,False,Office,V2B,0
B11000388,0,0.0,33607.0,0.0,0.0,33607.0,18.0,90.1456,53.7712,36.37440000000001,False,Office,V2B,0
B11000392,0,0.0,33876.0,0.0,0.0,33876.0,19.0,92.5968,54.2016,38.39520000000001,False,Office,V2B,0
B11000393,0,0.0,47139.0,0.0,0.0,47139.0,21.0,117.85920000000002,75.42240000000001,42.436800000000005,False,Office,V2B,0
B11000395,0,0.0,43636.0,0.0,0.0,43636.0,19.0,108.21280000000002,69.8176,38.39520000000001,False,Office,V2B,0
B11000396,0,0.0,46096.0,0.0,0.0,46096.0,19.0,112.14880000000002,73.7536,38.39520000000001,False,Office,V2B,0
B11000397,0,0.0,45221.0,0.0,0.0,45221.0,25.0,122.87360000000001,72.3536,50.52000000000001,False,Office,V2B,0
B11000400,0,0.0,43287.0,0.0,0.0,43287.0,24.0,117.75840000000002,69.2592,48.49920000000001,False,Office,V2B,0
B11000401,0,0.0,33286.0,0.0,0.0,33286.0,18.0,89.632,53.257600000000004,36.37440000000001,False,Office,V2B,0
B11000402,0,0.0,37618.0,0.0,0.0,37618.0,21.0,102.6256,60.1888,42.436800000000005,False,Office,V2B,0
B11000404,0,0.0,38007.0,0.0,0.0,38007.0,20.0,101.22720000000001,60.8112,40.41600000000001,False,Office,V2B,0
B11000409,0,0.0,31064.0,0.0,0.0,31064.0,16.0,82.0352,49.702400000000004,32.332800000000006,False,Office,V2B,0
B11000411,0,0.0,35776.0,0.0,0.0,35776.0,18.0,93.61600000000001,57.241600000000005,36.37440000000001,False,Office,V2B,0
B11000412,0,0.0,40356.0,0.0,0.0,40356.0,19.0,102.96480000000003,64.56960000000001,38.39520000000001,False,Office,V2B,0
B11000414,0,0.0,22676.0,0.0,0.0,22676.0,9.0,54.46880000000001,36.281600000000005,18.187200000000004,False,Office,V2B,0
B11000415,0,0.0,32692.0,0.0,0.0,32692.0,10.0,72.51520000000001,52.3072,20.208000000000006,False,Office,V2B,0
B11000426,0,0.0,37268.0,0.0,0.0,37268.0,21.0,102.06560000000002,59.628800000000005,42.436800000000005,False,Office,V2B,0
B11000427,0,0.0,45228.0,0.0,0.0,45228.0,21.0,114.80160000000001,72.3648,42.436800000000005,False,Office,V2B,0
B11000428,0,0.0,66063.0,0.0,0.0,66063.0,34.0,174.40800000000002,105.7008,68.70720000000001,False,Office,V2B,0
