name,Num_EV,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost
B11005697,0,48.192771,186115.97585897075,0.0,64.0,512.65893
B11005698,0,30.864198,119062.65413263439,0.0,42.0,330.1578
B11005699,0,27.027027,144098.594625085,0.0,56.0,391.69552
B11005700,0,18.75,68454.75,0.0,20.8125,184.86675
B11005701,0,51.086957,226583.05416309636,0.0,89.978261,635.0403
B11005702,0,28.0,150999.1200000027,0.0,57.0,406.48419
B11005703,0,50.980392,283273.5685704722,0.0,115.47059,777.07087
B11005704,0,54.83871,243260.4517454839,0.0,101.0,690.65623
B11005705,0,30.434783,180170.86956867806,0.0,73.695652,491.2193
B11005706,0,53.333333,236094.93343384386,0.0,89.933333,654.15584
B11005707,0,36.363636,181095.0000598045,0.0,57.0,469.48305
B11005708,0,51.219512,222902.31720356285,0.0,73.0,595.07674
B11005709,0,60.240964,243250.59031658748,0.0,92.0,682.04226
B11005710,0,34.482759,151220.82750187445,0.0,52.0,408.24182
B11005711,0,56.962025,248023.8606886955,0.0,88.151899,676.08313
B11005712,0,35.955056,195673.57290561014,0.0,70.0,518.35394
B11005713,0,30.337079,139899.17965859827,0.0,47.0,372.6646
B11005714,0,34.444444,159116.1001932102,0.0,50.655556,418.0894
B11005715,0,37.362637,167775.00015005868,0.0,63.131868,462.33556
B11005716,0,64.130435,259813.0436499707,0.0,73.0,677.05079
B11005717,0,25.287356,132904.7240494654,0.0,71.747126,402.51921
B11005718,0,32.0,125189.9199999992,0.0,57.0,372.28947
B11005719,0,29.545455,140266.99986202997,0.0,46.0,369.82718
B11005720,0,47.058824,225573.0001367512,0.0,85.0,616.21421
B11005721,0,55.882353,214860.617351321,0.0,63.0,570.27856
B11005722,0,45.652174,193406.78265397903,0.0,67.0,525.87706
B11005723,0,35.59322,185463.81366503861,0.0,64.0,489.25127
B11005724,0,69.879518,298811.7952086445,0.0,94.301205,792.69889
B11005725,0,55.172414,190870.79310937304,0.0,75.0,554.8843
B11005726,0,41.176471,181117.8234880336,0.0,70.0,504.33275
B11005727,0,11.764706,42711.76472037738,0.0,20.0,129.63718
B11005728,0,37.974684,190855.10111973414,0.0,72.0,518.27083
B11005729,0,45.945946,212832.89196572607,0.0,79.0,581.72988
B11005730,0,42.857143,178646.85721976048,0.0,67.0,497.3
B11005731,0,48.75,184879.82500000033,0.0,60.0,503.58697
B11005732,0,18.823529,64434.54119929276,0.0,32.0,201.17263
B11005733,0,36.708861,159948.63289516052,0.0,58.0,438.28244
B11005734,0,42.465753,181217.21904805014,0.0,63.0,492.63466
B11005735,0,57.142857,245669.14273799918,0.0,83.0,662.2256
B11005737,0,43.75,171496.875,0.0,54.0,461.17445
B11005738,0,34.444444,169478.62230330502,0.0,68.0,469.71908
B11005739,0,62.195122,271001.3049363245,0.0,102.7561,751.64795
B11005741,0,29.508197,163735.55727072599,0.0,70.0,455.80994
B11005742,0,37.5,136889.375,0.0,61.0,408.8543
B11005743,0,39.344262,177085.32785083342,0.0,56.0,466.33739
B11005744,0,37.078652,174403.8874934593,0.0,77.0,500.46243
B11005745,0,32.0,109947.51999999942,0.0,47.0,327.69363
B11005746,0,28.915663,110390.65048516751,0.0,53.710843,336.48921
B11005747,0,22.580645,99637.3226352947,0.0,45.0,290.43636
B11005749,0,63.529412,274732.11778598576,0.0,99.0,752.39529
B11005750,0,29.487179,108883.8589184985,0.0,51.0,329.61472
B11005764,0,45.614035,105841.5614303584,0.0,55.789474,363.05078
B11005766,0,39.583333,172780.56257157907,0.0,60.0,467.95732
B11005768,0,37.5,179573.75,0.0,62.0,479.1701
B11005769,0,50.0,217745.00000000003,0.0,74.0,586.6812
B11005770,0,41.25,164974.48749999923,0.0,53.5875,445.46755
B11005774,0,85.915493,370982.3096810239,0.0,105.28169,958.82494
B11005777,0,26.966292,106870.68532358657,0.0,55.0,330.00227
B11005786,0,24.210526,107594.23158009807,0.0,51.0,318.18525
B11005790,0,54.237288,237932.06767354623,0.0,79.0,636.60569
B11005791,0,33.766234,172099.64943199544,0.0,61.0,458.5633
B11005793,0,34.146341,122192.60983997039,0.0,44.0,345.03313
B11005795,0,86.046512,312906.8371380977,0.0,145.83721,948.09133
B11005796,0,26.041667,154422.0103561671,0.0,56.0,406.46398
B11005798,0,54.945055,232554.9888944062,0.0,92.0,655.52905
B11005801,0,40.659341,185047.40664593628,0.0,70.0,509.70218
B11005803,0,75.949367,278186.30381991836,0.0,87.0,755.71781
B11005805,0,75.0,285972.0,0.0,94.0,780.6354
B11005806,0,69.387755,276342.34667972935,0.0,89.0,745.16222
B11005807,0,27.272727,105592.27274161215,0.0,47.0,312.33433
B11005809,0,56.862745,194994.76483020195,0.0,75.862745,566.22643
B11005810,0,48.780488,196222.8291718733,0.0,60.0,521.78989
B11005812,0,36.842105,141486.63168460355,0.0,74.263158,441.84434
B11005814,0,24.528302,116490.83035853479,0.0,46.0,322.87986
B11005815,0,43.678161,184569.494192769,0.0,63.0,500.15033
B11005816,0,29.761905,160343.85724550535,0.0,74.0,458.91675
B11005818,0,37.974684,176517.08845570832,0.0,59.0,469.05961
B11005819,0,21.25,71090.7874999997,0.0,38.0,228.25441
B11005820,0,50.877193,169672.57881702788,0.0,65.0,493.13514
B11005821,0,50.0,206886.0000000003,0.0,72.0,565.2652
B11005822,0,48.0,206976.15999999864,0.0,65.0,547.71386
B11005823,0,30.0,130799.99999999924,0.0,57.0,377.7156
B11005825,0,38.297872,190177.48927820087,0.0,62.0,497.55231
B11005826,0,47.916667,206626.10412429713,0.0,80.0,577.31785
B11005827,0,47.126437,199260.19550354197,0.0,66.0,535.83854
B11005829,0,26.25,88748.18750000051,0.0,39.0,267.40205
B11005830,0,66.666667,278436.9998929895,0.0,86.0,737.62133
B11005832,0,33.333333,159077.3333934196,0.0,53.666667,422.14
B11005833,0,36.363636,103968.2727616074,0.0,44.181818,320.17731
B11005835,0,22.352941,96913.96476643615,0.0,32.0,259.40441
B11005836,0,33.707865,178726.94370909978,0.0,62.0,471.08417
B11005838,0,58.333333,240971.33343016423,0.0,81.0,652.7806
B11005839,0,28.75,173919.96249999915,0.0,85.0,501.07119
B11005840,0,41.428571,161238.9713881443,0.0,53.0,438.62047
B11005841,0,44.444444,204708.55567934192,0.0,66.0,539.79538
B11005842,0,35.443038,149333.9494580673,0.0,63.0,429.15611
B11005847,0,29.411765,120050.88232000337,0.0,53.0,351.38969
B11005850,0,44.444444,212695.77790091198,0.0,67.0,554.59573
B11005851,0,62.5,316340.0,0.0,126.0,871.7023
B11005852,0,29.787234,157814.851145513,0.0,61.0,428.6449
B11005853,0,65.671642,259779.56726622212,0.0,88.0,710.04487
B11005854,0,45.714286,182528.31422388923,0.0,60.0,494.43616
B11005855,0,47.058824,199159.41184235166,0.0,75.0,553.74447
B11005856,0,56.818182,230364.8181573301,0.0,79.863636,630.82442
B11005857,0,52.5,229424.35000000082,0.0,80.0,621.93046
B11005858,0,40.0,151692.00000000026,0.0,70.6,456.37568
B11005859,0,53.846154,223424.38444547844,0.0,77.0,608.65754
B11005860,0,39.285714,122461.64290327718,0.0,50.0,366.71077
B11005861,0,23.255814,120012.46513598406,0.0,52.0,338.38061
B11005862,0,38.461538,128068.0770143235,0.0,56.076923,386.4984
B11005863,0,27.058824,109511.58827479702,0.0,50.0,324.28795
B11005864,0,38.271605,155079.41992259028,0.0,58.851852,434.98699
B11005865,0,68.571429,299048.80006455915,0.0,91.0,784.08517
B11005866,0,56.962025,221491.86069223098,0.0,78.0,613.11697
B11005867,0,44.0,174392.95999999804,0.0,58.56,475.46678
B11005868,0,92.553191,403969.8191886368,0.0,155.0,1123.8576
B11005869,0,56.0,215370.52000000208,0.0,78.0,601.61523
B11005870,0,31.818182,104514.04543165019,0.0,46.681818,318.03436
B11005871,0,84.269663,350289.4155135231,0.0,126.94382,966.56979
B11005872,0,31.395349,108139.53507176088,0.0,54.05814,337.99069
B11005873,0,77.906977,424702.4066838364,0.0,172.22093,1165.8328
B11005874,0,51.25,172408.82500000027,0.0,55.0,477.96687
B11005875,0,44.318182,167287.7954111953,0.0,49.0,445.34445
B11005876,0,28.0,127331.40000000157,0.0,51.0,356.49104
B11005877,0,36.470588,131963.39995042048,0.0,50.0,376.91673
B11005878,0,38.636364,127609.45450548193,0.0,65.522727,405.163
B11005879,0,33.333333,118965.6667264007,0.0,61.666667,374.12773
B11005880,0,83.950617,277437.44445337524,0.0,100.0,794.99226
B11005881,0,26.829268,130689.58533891843,0.0,56.0,369.89009
B11005882,0,26.0,133169.1800000007,0.0,59.0,378.44789
B11005883,0,42.0,187713.1199999994,0.0,62.16,500.50392
B11005884,0,28.985507,101456.9420633875,0.0,48.0,310.77878
B11005885,0,24.242424,115754.72734362354,0.0,47.0,323.21547
B11005886,0,35.164835,157332.15388514593,0.0,56.0,427.31383
B11005887,0,39.506173,164730.40736474853,0.0,53.0,440.79451
B11005888,0,31.325301,143273.80738565192,0.0,51.0,387.9013
B11005890,0,46.938776,187852.122330441,0.0,73.0,531.39812
B11005891,0,35.802469,151125.37030638894,0.0,54.0,414.47318
B11005892,0,41.37931,163401.3448783347,0.0,64.0,464.22163
B11005893,0,41.935484,213781.87080234475,0.0,68.0,553.90088
B11005894,0,52.0,225784.44000000128,0.0,78.0,611.1775
B11005895,0,36.111111,149488.61119321926,0.0,55.0,414.423
B11005896,0,61.333333,244387.6800794362,0.0,75.0,651.44695
B11005897,0,42.352941,177690.75300914719,0.0,66.0,492.85448
B11005898,0,28.915663,143828.81915711175,0.0,53.0,388.55381
B11005899,0,46.511628,218319.13956761066,0.0,68.0,569.28316
B11005900,0,27.941176,123245.39701813548,0.0,54.0,355.91142
B11005901,0,61.403509,228884.5439784765,0.0,76.929825,630.66629
B11005902,0,30.666667,146203.55993312734,0.0,51.0,391.41983
B11005903,0,22.580645,98609.96781397084,0.0,45.0,288.79259
B11005904,0,24.242424,111164.63642377846,0.0,52.0,325.97532
B11005905,0,33.333333,116105.66672743985,0.0,56.333333,358.77413
B11005906,0,73.015873,287395.5713979632,0.0,114.0,819.80729
B11005907,0,26.506024,114920.0723529404,0.0,49.0,329.93951
B11005908,0,53.333333,212661.66674793925,0.0,80.0,596.58933
B11005909,0,31.764706,120998.49416879269,0.0,52.047059,355.15664
B11005910,0,18.390805,78535.22995445407,0.0,45.0,249.23605
B11005911,0,23.255814,114444.3488431195,0.0,52.0,329.47163
B11005912,0,23.595506,127677.5618574363,0.0,52.0,351.24772
B11005913,0,21.83908,96063.58620193384,0.0,43.0,279.36051
B11005914,0,28.409091,136116.8635599506,0.0,52.0,373.29472
B11005915,0,39.772727,174947.59093418645,0.0,58.0,467.71914
B11005916,0,40.909091,194687.86352832947,0.0,55.0,495.25822
B11005917,0,47.826087,212017.0434203609,0.0,77.0,579.72017
