,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,DemandClass_detail,cluster,SCR[-],Ech,SSR[-],PBP,Cini,Canu,Rdu,cal_pvcapacity,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost,GHG_Additional_Production
3051,B11002708,15,27132.026770715664,522.149,187427.27710154388,134.93975903118417,0,380569.2560498325,187.000000000006,986.8004096797442,608.910809679732,377.8896000000122,False,False,Office,V2B,0,4,400,520,C,0.9029018615958395,1296.4856065355448,0.3078012865983306,18.69139785752867,3890.963855295196,68.96987951559208,277.13857213843744,552.1597562352348,229823.20004999998,0.0,219494.81090021683,5325.9870017922085,1.0701695507481306,0,0.0,155272.25646833165,454645.0681215598,26828.992932145135,155.27225646833165,93189.07940180448,3.6080790826553555,0.0,3665.9638552951965,68.96987951559208,263.51807228035193,986.8004096797442,4652.7642649749405,1250.318481960096,336233.5681215598
3052,B11002708,15,27132.026770715664,522.149,187427.27710154388,134.93975903118417,0,366276.71106271935,97.253012048418,782.5716244477943,586.0427377003512,196.52888674744312,False,False,Office,V2B,1,5,400,520,C,0.9870170367749888,17061.963853282923,0.33557731301940785,10.94342172436113,4430.9638552951965,76.46987951559208,481.36735737038737,-129.80094102524035,229823.20004999998,0.0,219494.81090021683,5325.9870017922085,1.0701695507481306,0,0.0,149440.89811358947,454645.0681215598,26828.992932145135,149.44089811358947,99020.43775654666,3.395597673969382,0.0,3935.9638552951965,76.46987951559208,298.01807228035193,782.5716244477943,4718.535479742991,1080.5896967281462,336233.5681215598
3053,B11002708,15,27132.026770715664,522.149,258787.04217546064,186.31578952422345,0,305512.71426307183,94.68421052372912,680.1581954472667,488.8203428209149,191.3378526263519,True,False,Office,V2B,1,6,400,520,C,0.9581320450254371,39650.50528380163,0.44799981067499595,11.920223753672513,5741.052632867698,102.15789476211172,583.7807863709149,-168.09124788783834,229823.20004999998,0.0,303063.74698574375,5325.9870017922085,1.0701695507481306,0,0.0,124649.18741933329,538214.0042070866,31007.43973642148,124.64918741933329,123812.14845080284,3.390640655701864,0.0,5246.052632867698,102.15789476211172,389.2105264054966,680.1581954472667,5926.210828314965,1069.3687218527634,419802.50420708663
3054,B11002711,0,0.0,670.25,0.0,0.0,0,670250.0,192.0,1460.3936,1072.4,387.9936,False,False,Office,V2B,0,1,600,670,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118411.5,0.0,0.0,0.0,0,35424.543870136135,273462.0,118411.5,7894.1,308.88654387013617,0.0,0.0,94.63005681818181,0.0,0.0,0.0,1460.3936,1555.023656818182,1555.023656818182,
3055,B11002711,0,0.0,670.25,140950.62449484935,101.53846810132146,0,538550.1658666355,179.86153787467958,1225.1444611237691,861.6802653866165,363.46419573715264,True,False,Office,V2B,0,2,600,670,A,0.93436859734253,0.0,0.19649360284044312,14.035300695931468,2589.2309365836973,50.76923405066073,235.24913887623097,-81.69115082334228,0.0,118411.5,165163.8258064975,0.0,0.0,0,35424.543870136135,219728.46767358726,283575.3258064975,16152.291290324876,255.1530115437234,53733.53232641274,3.0737570871608444,94.63005681818181,2589.2309365836973,50.76923405066073,180.2307808798456,1225.1444611237691,3909.005454525648,1500.0052988217967,165163.82580649748
3056,B11002711,15,27132.026770715664,670.25,140950.62449484935,101.53846810132146,0,565490.1890447084,181.11609032816733,1270.783697806694,904.7843024715334,365.9993953351606,False,False,Office,V2B,0,3,600,670,A,0.9393963657836484,708.6671015911245,0.1897245340197474,11.841520123103342,3039.2309365836973,52.26923405066073,308.92808401148795,117.21730737687587,229823.20004999998,0.0,165163.8258064975,5325.9870017922085,1.0701695507481306,0,0.0,230719.997130241,400314.0830278405,24112.44367745917,230.719997130241,78166.54673989513,3.6064351667714303,0.0,2814.2309365836973,52.26923405066073,204.2307808798456,1270.783697806694,4085.014634390391,1475.0144786865394,281902.5830278405
3057,B11002711,15,27132.026770715664,670.25,140950.62449484935,101.53846810132146,0,565490.1890447084,181.11609032816733,1270.783697806694,904.7843024715334,365.9993953351606,False,False,Office,V2B,0,4,600,670,A,0.9393963657836484,708.6671015911245,0.1897245340197474,11.841520123103342,3039.2309365836973,52.26923405066073,308.92808401148795,117.21730737687587,229823.20004999998,0.0,165163.8258064975,5325.9870017922085,1.0701695507481306,0,0.0,230719.997130241,400314.0830278405,24112.44367745917,230.719997130241,78166.54673989513,3.6064351667714303,0.0,2814.2309365836973,52.26923405066073,204.2307808798456,1270.783697806694,4085.014634390391,1475.0144786865394,281902.5830278405
3058,B11002711,15,27132.026770715664,670.25,140950.62449484935,101.53846810132146,0,557911.9601842866,132.9846153189392,1161.3944469313708,892.6591362948584,268.73531063651245,False,False,Office,V2B,1,5,600,670,A,0.9997683856855977,9218.141008786413,0.2016484563079018,9.982568386882456,3579.2309365836973,59.76923405066073,418.31733488681107,-136.37441423355355,229823.20004999998,0.0,165163.8258064975,5325.9870017922085,1.0701695507481306,0,0.0,227628.0797551889,400314.0830278405,24112.44367745917,227.6280797551889,81258.46411494724,3.4692088522503264,0.0,3084.2309365836973,59.76923405066073,238.7307808798456,1161.3944469313708,4245.625383515068,1400.1252278112165,281902.5830278405
3059,B11002711,15,27132.026770715664,670.25,221765.42667607524,159.75609745061792,0,485585.3943157744,132.40243902549096,1044.4954796879513,776.9366309052391,267.5588487827121,True,False,Office,V2B,1,6,600,670,A,0.9755961103512693,36708.8901917851,0.3082226860870502,11.34516355333957,5063.780484990757,88.87804872530896,535.2163021302306,-158.0621420039913,229823.20004999998,0.0,259861.39779585964,5325.9870017922085,1.0701695507481306,0,0.0,198118.84088083592,495011.6550172026,28847.322276927272,198.11884088083593,110767.70298930022,3.3999094036786235,0.0,4568.780484990757,88.87804872530896,342.06707297484684,1044.4954796879513,5613.275964678708,1386.5625526627982,376600.1550172026
3060,B11002728,0,0.0,611.45,0.0,0.0,0,611450.0,165.0,1311.752,978.32,333.432,False,False,Office,V2B,0,1,600,610,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118411.5,0.0,0.0,0.0,0,35424.543870136135,249471.59999999998,118411.5,7894.1,284.89614387013614,0.0,0.0,94.63005681818181,0.0,0.0,0.0,1311.752,1406.3820568181818,1406.3820568181818,
