,index,name,Num_EV,TripEnergy,Demand,RES,SolarCapacity,BESS_BatteryCapacity,BuyPowerEnergy,ContractPower,Cost,EnergyCost,ContractCost,Is_opt_solarcapacity,Is_opt_BESS,TripType,ChargeType,ControlRatio,Scinario,DemandClass,cluster,SCR[-],SSR[-],LCOE,Edu,Ebc,Ebcc,PBP,Cini,Canu,Rdu,GHG_prod_ev,GHG_prod_ice,GHG_prod_pv,GHG_prod_charger,GHG_prod_vgi,GHG_prod_BESS,GHG_trvl,GHG_Comsumption,GHG_Total_Production,GHG_Annual_Production,GHG_Total,GHG_Reduction,CPBP,Cost_trvl,Prod_cost,OM_cost,Annual_Prod_cost,ElectricityCost,TotalCost,AnnualCost
0,6027,B11001829,3,2839.6031746031745,220.036,20156.218408554447,14.520202001624067,0,203676.17698461175,68.77777777794414,464.86801650904835,325.8818831753789,138.98613333366953,True,False,Office,V2B,0,4,100,1,0.9576577881829719,0.08656763657396875,21.41262616505222,19263.854777527777,38.90476174127581,0.0,0.0,415.26515104141373,7.5601010008120335,39.488394854587966,4035.8481854928614,0.0,1574.5836094870026,106.51974003584417,0.021403391014962612,0.0,0.0,122611.25241376975,5716.972938406723,492.9681133663222,128328.22535217647,11168.554038289061,0.5118812085080371,0.0,415.26515104141373,7.5601010008120335,30.57335855288272,464.8680165090484,880.1331675504621,495.4413750619311
0,6028,B11001829,3,2839.6031746031745,220.036,20156.218408554447,14.520202001624067,0,202946.6489081505,47.999999999956366,421.71303825295274,324.71463825304085,96.99839999991184,False,False,Office,V2B,1,5,100,1,0.9749144386180114,0.08808134782407297,22.87101867115499,19762.526498331918,885.4052977141426,0.0,8.571272248211073,469.26515104141373,9.060101000812033,82.64337311068368,4035.8481854928614,0.0,1574.5836094870026,106.51974003584417,0.021403391014962612,0.0,0.0,122172.08298094658,5716.972938406723,492.9681133663222,127889.0559193533,11607.72347111223,0.4925145703750069,0.0,469.26515104141373,9.060101000812033,37.47335855288272,421.7130382529527,890.9781892943664,459.1863968058354
0,6029,B11001829,3,2839.6031746031745,220.036,46829.1566863877,33.734939802173905,0,178591.0430723481,47.99999999997382,382.7440689157041,285.745668915757,96.99839999994708,True,False,Office,V2B,1,6,100,1,0.8553435177533957,0.17857249016268253,18.81786860691255,41651.00856333852,9725.39761137266,0.0,11.924708151703602,959.2409649554346,18.667469901086953,121.61234244793229,4035.8481854928614,0.0,3658.2468531493223,106.51974003584417,0.021403391014962612,0.0,0.0,107510.22424501072,7800.636182069043,597.1512755494382,115310.86042707975,24185.918963385775,0.3225280045748171,0.0,959.2409649554346,18.667469901086953,71.57951814885868,382.7440689157041,1341.9850338711387,454.32358706456273
0,6030,B11001830,0,0.0,198.987,0.0,0.0,0,198987.0,50.0,419.4192000000001,318.3792,101.04,False,False,Office,V2B,0,1,0,1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-5.684341886080802e-14,0.0,1418.0882951772467,0.0,0.0,0.0,0.0,5618.970299593252,119788.40945105786,1418.0882951772467,141.80882951772466,126825.46804582835,0.0,0.0,18.926011363636363,0.0,0.0,0.0,419.41920000000005,438.3452113636364,438.3452113636364
0,6031,B11001830,0,0.0,198.987,21689.841647599165,15.62499848546567,0,178023.59570040533,50.000000009385694,385.8777531396152,284.8377531206486,101.0400000189666,True,False,Office,V2B,0,2,0,1,0.9665079584340427,0.10535062375722543,19.183970684823226,20963.404569579016,0.0,0.0,17.98497275881731,398.43746137937455,7.812499242732835,33.54144686038484,0.0,1418.0882951772467,1694.3887220523293,0.0,0.0,0.0,5618.970299593252,107168.62595903118,3112.4770172295757,226.52826562034113,115900.073275854,10925.394769974358,0.284884627307328,18.926011363636363,398.43746137937455,7.812499242732835,27.734372311701563,385.87775313961515,803.241225882626,432.5381368149531
0,6032,B11001830,3,2839.6031746031745,198.987,21689.841647599165,15.62499848546567,0,180942.937227083,58.476190476196265,407.6773852776303,289.5086995633328,118.16868571429742,False,False,Office,V2B,0,3,0,1,0.9675957822187501,0.10393208485154459,21.049144864375926,20963.404569579016,23.594725630794496,0.0,0.0,443.43746137937455,8.112499242732834,30.667826086006073,4035.8481854928614,0.0,1694.3887220523293,106.51974003584417,0.021403391014962612,0.0,0.0,108926.04367036479,5836.77805097205,498.95836899458857,114762.82172133683,12062.646324491521,0.48387210351357857,0.0,443.43746137937455,8.112499242732834,32.53437231170156,407.67738527763026,851.1148466570048,440.2117575893318
0,6033,B11001830,3,2839.6031746031745,198.987,22129.927541569472,15.942028989352355,0,180589.5700530654,58.47619047651101,407.1119977998382,288.94331208490473,118.16868571493346,True,False,Office,V2B,0,4,0,1,0.9643215696844375,0.10568203423889182,21.082966140461917,21313.5507288618,26.815735027137777,0.0,0.0,451.52173922848505,8.271014494676178,31.23321356379813,4035.8481854928614,0.0,1728.7677916459584,106.51974003584417,0.021403391014962612,0.0,0.0,108713.31976514593,5871.157120565678,500.67732247427,114584.47688571161,12240.99116011674,0.47963086026031293,0.0,451.52173922848505,8.271014494676178,33.09710145610043,407.1119977998382,858.6337370283233,440.20909925593867
0,6034,B11001830,3,2839.6031746031745,198.987,22129.927541569472,15.942028989352355,0,179883.0503193437,40.999999999988304,370.6656805109264,287.8128805109499,82.8527999999764,False,False,Office,V2B,1,5,0,1,0.9843296996918038,0.10783160699622486,22.642775370125424,21658.115947923452,814.1594213940992,0.0,11.277442607066,505.52173922848505,9.771014494676177,67.67953085271,4035.8481854928614,0.0,1728.7677916459584,106.51974003584417,0.021403391014962612,0.0,0.0,108288.00115062183,5871.157120565678,500.67732247427,114159.15827118751,12666.309774640846,0.4635254644032386,0.0,505.52173922848505,9.771014494676177,39.997101456100424,370.66568051092634,876.1874197394113,410.6627819670268
0,6035,B11001830,3,2839.6031746031745,198.987,47400.24389924768,34.14634146111565,0,156757.15979440496,40.99999999998572,333.6642556710191,250.81145567104795,82.85279999997115,True,False,Office,V2B,1,6,0,1,0.8632210925008301,0.20132880401204895,18.782427732903784,42264.47552523084,9772.634144436855,0.0,14.0051728416058,969.731707258449,18.873170730557824,104.68095569261726,4035.8481854928614,0.0,3702.8596146668942,106.51974003584417,0.021403391014962612,0.0,0.0,94366.42012712934,7845.248943586615,599.3819136253168,102211.66907071596,24613.798975112397,0.3187337700904738,0.0,969.731707258449,18.873170730557824,72.30975609348027,333.6642556710191,1303.3959629294682,405.9740117644993
0,6036,B11001831,0,0.0,203.806,0.0,0.0,0,203806.0,61.0,449.35839999999996,326.0896,123.26880000000001,False,False,Office,V2B,0,1,100,1,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.0882951772467,0.0,0.0,0.0,0.0,5618.970299593252,122689.40471780719,1418.0882951772467,141.80882951772466,129726.46331257769,0.0,0.0,18.926011363636363,0.0,0.0,0.0,449.3584,468.28441136363637,468.28441136363637
