,0
B11001496,1
B11001497,8
B11001503,7
B11001504,4
B11001505,8
B11001506,8
B11001507,8
B11001508,8
B11001512,6
B11001513,2
B11001515,5
B11001516,5
B11001517,9
B11001518,5
B11001519,5
B11001520,7
B11001521,9
B11001522,4
B11001523,4
B11001524,2
B11001525,6
B11001526,2
B11001527,6
B11001528,2
B11001530,4
B11001531,6
B11001532,6
B11001533,6
B11001534,6
B11001535,6
B11001537,4
B11001538,8
B11001539,2
B11001540,8
B11001541,4
B11001542,8
B11001543,8
B11001545,8
B11001546,9
B11001547,5
B11001548,4
B11001549,2
B11001550,5
B11001551,2
B11001552,6
B11001553,4
B11001554,7
B11001555,6
B11001556,4
B11001557,6
B11001558,4
B11001559,6
B11001560,4
B11001561,1
B11001562,4
B11001563,7
B11001564,2
B11001565,4
B11001566,7
B11001567,4
B11001568,8
B11001569,8
B11001570,5
B11001571,2
B11001572,4
B11001574,2
B11001575,8
B11001576,4
B11001577,4
B11001578,4
B11001579,7
B11001580,8
B11001581,8
B11001582,8
B11001583,4
B11001584,8
B11001585,8
B11001586,4
B11001587,8
B11001588,4
B11001589,8
B11001590,8
B11001591,4
B11001592,8
B11001593,8
B11001594,4
B11001598,8
B11001599,6
B11001600,2
B11001601,8
B11001602,3
B11001603,8
B11001604,2
B11001605,4
B11001606,4
B11001607,6
B11001608,9
B11001609,3
B11001610,6
B11001611,8
B11001612,2
B11001613,5
B11001614,5
B11001615,7
B11001616,9
B11001617,4
B11001618,4
B11001619,5
B11001620,7
B11001621,5
B11001622,5
B11001623,4
B11001624,7
B11001625,4
B11001626,4
B11001628,4
B11001629,4
B11001630,1
B11001631,2
B11001632,2
B11001633,4
B11001634,4
B11001636,4
B11001637,4
B11001638,4
B11001639,8
B11001640,9
B11001641,2
B11001642,2
B11001643,4
B11001644,8
B11001645,2
B11001646,4
B11001647,9
B11001649,1
B11001650,1
B11001651,1
B11001652,7
B11001653,1
B11001654,1
B11001655,1
B11001656,1
B11001657,1
B11001658,1
B11001659,1
B11001660,1
B11001661,1
B11001662,1
B11001663,1
B11001664,8
B11001665,5
B11001666,4
B11001667,5
B11001668,5
B11001669,5
B11001670,5
B11001672,4
B11001673,9
B11001674,9
B11001675,9
B11001676,5
B11001677,5
B11001678,9
B11001679,5
B11001680,9
B11001681,5
B11001682,9
B11001683,9
B11001684,9
B11001685,9
B11001686,9
B11001687,9
B11001688,5
B11001689,9
B11001690,9
B11001691,5
B11001692,5
B11001693,9
B11001694,5
B11001695,5
B11001697,9
B11001698,9
B11001699,9
B11001700,9
B11001701,5
B11001702,8
B11001703,6
B11001704,6
B11001705,5
B11001706,5
B11001708,1
B11001709,1
B11001710,6
B11001711,4
B11001712,1
B11001713,2
B11001714,1
B11001715,1
B11001716,1
B11001717,7
B11001718,1
B11001719,1
B11001720,1
B11001722,3
B11001723,1
B11001724,1
B11001725,6
B11001726,4
B11001728,3
B11001729,1
B11001734,6
B11001735,6
B11001746,6
B11001748,2
B11001749,0
B11001750,0
B11001751,5
B11001752,0
B11001753,0
B11001754,0
B11001755,0
B11001756,0
B11001757,0
B11001758,0
B11001759,0
B11001760,5
B11001761,5
B11001762,5
B11001763,5
B11001764,5
B11001765,5
B11001766,5
B11001767,5
B11001768,5
B11001769,5
B11001770,5
B11001771,5
B11001772,5
B11001773,5
B11001774,5
B11001775,5
B11001776,5
B11001777,5
B11001778,5
B11001779,5
B11001780,5
B11001781,5
B11001782,5
B11001783,5
B11001784,5
B11001785,5
B11001786,5
B11001787,5
B11001788,5
B11001789,5
B11001790,5
B11001791,5
B11001792,5
B11001793,5
B11001794,5
B11001795,5
B11001796,5
B11001797,5
B11001798,5
B11001799,5
B11001800,5
B11001801,5
B11001802,5
B11001803,5
B11001804,5
B11001805,5
B11001806,4
B11001807,5
B11001808,5
B11001809,5
B11001810,5
B11001811,5
B11001812,5
B11001813,7
B11001814,7
B11001815,7
B11001816,7
B11001817,7
B11001818,7
B11001819,7
B11001820,7
B11001821,7
B11001822,7
B11001823,7
B11001824,7
B11001825,7
B11001826,7
