name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11000198,0,30382.0,0.0,0,30382.0,0.0,23.0,95.0896,48.6112,46.4784
B11000199,0,44563.0,0.0,0,44563.0,0.0,24.0,119.8,71.3008,48.4992
B11000200,0,40195.0,0.0,0,40195.0,0.0,29.0,122.9152,64.312,58.6032
B11000201,0,34571.0,0.0,0,34571.0,0.0,20.0,95.7296,55.3136,40.416
B11000202,0,24205.0,0.0,0,24205.0,0.0,13.0,64.9984,38.728,26.2704
B11000203,0,29234.0,0.0,0,29234.0,0.0,21.0,89.2112,46.7744,42.4368
B11000204,0,25849.0,0.0,0,25849.0,0.0,17.0,75.712,41.3584,34.3536
B11000205,0,39235.0,0.0,0,39235.0,0.0,25.0,113.296,62.776,50.52
B11000206,0,38857.0,0.0,0,38857.0,0.0,24.0,110.6704,62.1712,48.4992
B11000207,0,42049.0,0.0,0,42049.0,0.0,26.0,119.8192,67.2784,52.5408
B11000208,0,21089.0,0.0,0,21089.0,0.0,15.0,64.0544,33.7424,30.312
B11000209,0,30967.0,0.0,0,30967.0,0.0,19.0,87.9424,49.5472,38.3952
B11000210,0,59285.0,0.0,0,59285.0,0.0,37.0,169.6256,94.856,74.7696
B11000212,0,24905.0,0.0,0,24905.0,0.0,20.0,80.264,39.848,40.416
B11000213,0,17952.0,0.0,0,17952.0,0.0,13.0,54.9936,28.7232,26.2704
B11000214,0,33077.0,0.0,0,33077.0,0.0,21.0,95.36,52.9232,42.4368
B11000215,0,27005.0,0.0,0,27005.0,0.0,18.0,79.5824,43.208,36.3744
B11000216,0,55770.0,0.0,0,55770.0,0.0,31.0,151.8768,89.232,62.6448
B11000217,0,20726.0,0.0,0,20726.0,0.0,14.0,61.4528,33.1616,28.2912
B11000218,0,40659.0,0.0,0,40659.0,0.0,24.0,113.5536,65.0544,48.4992
B11000219,0,20099.0,0.0,0,20099.0,0.0,10.0,52.3664,32.1584,20.208
B11000220,0,44134.0,0.0,0,44134.0,0.0,31.0,133.2592,70.6144,62.6448
B11000221,0,89745.0,0.0,0,89745.0,0.0,43.0,230.4864,143.592,86.8944
B11000222,0,23500.0,0.0,0,23500.0,0.0,15.0,67.912,37.6,30.312
B11000223,0,720252.0,0.0,0,720252.0,0.0,277.0,1712.1648,1152.4032,559.7616
B11000224,0,1874310.0,0.0,0,1874310.0,0.0,440.0,3888.048,2998.896,889.152
B11000225,0,3523372.0,0.0,0,3523372.0,0.0,541.0,6730.648,5637.3952,1093.2528
B11000227,0,690820.0,0.0,0,690820.0,0.0,195.0,1499.368,1105.312,394.056
B11000228,0,769854.0,0.0,0,769854.0,0.0,286.0,1809.7152,1231.7664,577.9488
B11000230,0,968811.0,0.0,0,968811.0,0.0,413.0,2384.688,1550.0976,834.5904
B11000231,0,26238.0,0.0,0,26238.0,0.0,15.0,72.2928,41.9808,30.312
B11000233,0,223626.0,0.0,0,223626.0,0.0,88.0,535.632,357.8016,177.8304
B11000234,0,2596545.0,0.0,0,2596545.0,0.0,653.0,5474.0544,4154.472,1319.5824
B11000235,0,23102.0,0.0,0,23102.0,0.0,19.0,75.3584,36.9632,38.3952
B11000236,0,35485.0,0.0,0,35485.0,0.0,22.0,101.2336,56.776,44.4576
B11000237,0,668663.0,0.0,0,668663.0,0.0,282.0,1639.7264,1069.8608,569.8656
B11000238,0,39673.0,0.0,0,39673.0,0.0,27.0,118.0384,63.4768,54.5616
B11000239,0,1036134.0,0.0,0,1036134.0,0.0,578.0,2825.8368,1657.8144,1168.0224
B11000240,0,51388.0,0.0,0,51388.0,0.0,30.0,142.8448,82.2208,60.624
B11000241,0,34951.0,0.0,0,34951.0,0.0,24.0,104.4208,55.9216,48.4992
B11000242,0,45655.0,0.0,0,45655.0,0.0,26.0,125.5888,73.048,52.5408
B11000243,0,20629.0,0.0,0,20629.0,0.0,16.0,65.3392,33.0064,32.3328
B11000244,0,22239.0,0.0,0,22239.0,0.0,16.0,67.9152,35.5824,32.3328
B11000245,0,52289.0,0.0,0,52289.0,0.0,29.0,142.2656,83.6624,58.6032
B11000246,0,478973.0,0.0,0,478973.0,0.0,179.0,1128.08,766.3568,361.7232
B11000247,0,32560.0,0.0,0,32560.0,0.0,20.0,92.512,52.096,40.416
B11000248,0,32912.0,0.0,0,32912.0,0.0,22.0,97.1168,52.6592,44.4576
B11000249,0,724479.0,0.0,0,724479.0,0.0,190.0,1543.1184,1159.1664,383.952
B11000250,0,26765.0,0.0,0,26765.0,0.0,18.0,79.1984,42.824,36.3744
B11000251,0,927849.0,0.0,0,927849.0,0.0,309.0,2108.9856,1484.5584,624.4272
B11000252,0,734121.0,0.0,0,734121.0,0.0,226.0,1631.2944,1174.5936,456.7008
B11000253,0,841329.0,0.0,0,841329.0,0.0,216.0,1782.6192,1346.1264,436.4928
B11000254,0,685910.0,0.0,0,685910.0,0.0,240.0,1582.448,1097.456,484.992
B11000255,0,433899.0,0.0,0,433899.0,0.0,168.0,1033.7328,694.2384,339.4944
B11000256,0,734687.0,0.0,0,734687.0,0.0,325.0,1832.2592,1175.4992,656.76
B11000257,0,58982.0,0.0,0,58982.0,0.0,35.0,165.0992,94.3712,70.728
B11000259,0,26277.0,0.0,0,26277.0,0.0,16.0,74.376,42.0432,32.3328
B11000260,0,31206.0,0.0,0,31206.0,0.0,17.0,84.2832,49.9296,34.3536
B11000261,0,1008553.0,0.0,0,1008553.0,0.0,306.0,2232.0496,1613.6848,618.3648
B11000262,0,31876.0,0.0,0,31876.0,0.0,24.0,99.5008,51.0016,48.4992
B11000263,0,29228.0,0.0,0,29228.0,0.0,19.0,85.16,46.7648,38.3952
B11000264,0,410381.0,0.0,0,410381.0,0.0,132.0,923.3552,656.6096,266.7456
B11000265,0,37044.0,0.0,0,37044.0,0.0,19.0,97.6656,59.2704,38.3952
B11000266,0,19986.0,0.0,0,19986.0,0.0,14.0,60.2688,31.9776,28.2912
B11000267,0,25129.0,0.0,0,25129.0,0.0,16.0,72.5392,40.2064,32.3328
B11000268,0,511403.0,0.0,0,511403.0,0.0,190.0,1202.1968,818.2448,383.952
B11000269,0,73524.0,0.0,0,73524.0,0.0,40.0,198.4704,117.6384,80.832
B11000270,0,30821.0,0.0,0,30821.0,0.0,21.0,91.7504,49.3136,42.4368
B11000271,0,431536.0,0.0,0,431536.0,0.0,188.0,1070.368,690.4576,379.9104
B11000272,0,419078.0,0.0,0,419078.0,0.0,127.0,927.1664,670.5248,256.6416
B11000273,0,546839.0,0.0,0,546839.0,0.0,207.0,1293.248,874.9424,418.3056
B11000274,0,44143.0,0.0,0,44143.0,0.0,22.0,115.0864,70.6288,44.4576
B11000275,0,528591.0,0.0,0,528591.0,0.0,191.0,1231.7184,845.7456,385.9728
B11000276,0,48332.0,0.0,0,48332.0,0.0,27.0,131.8928,77.3312,54.5616
B11000277,0,27585.0,0.0,0,27585.0,0.0,17.0,78.4896,44.136,34.3536
B11000278,0,52671.0,0.0,0,52671.0,0.0,22.0,128.7312,84.2736,44.4576
B11000279,0,38116.0,0.0,0,38116.0,0.0,27.0,115.5472,60.9856,54.5616
B11000280,0,42595.0,0.0,0,42595.0,0.0,23.0,114.6304,68.152,46.4784
B11000281,0,663487.0,0.0,0,663487.0,0.0,239.0,1544.5504,1061.5792,482.9712
B11000282,0,655418.0,0.0,0,655418.0,0.0,378.0,1812.5312,1048.6688,763.8624
B11000283,0,1004543.0,0.0,0,1004543.0,0.0,364.0,2342.84,1607.2688,735.5712
B11000284,0,380877.0,0.0,0,380877.0,0.0,154.0,920.6064,609.4032,311.2032
B11000285,0,662747.0,0.0,0,662747.0,0.0,233.0,1531.2416,1060.3952,470.8464
B11000286,0,877510.0,0.0,0,877510.0,0.0,282.0,1973.8816,1404.016,569.8656
B11000287,0,1053310.0,0.0,0,1053310.0,0.0,161.0,2010.6448,1685.296,325.3488
B11000288,0,1383792.0,0.0,0,1383792.0,0.0,300.0,2820.3072,2214.0672,606.24
B11000289,0,1455228.0,0.0,0,1455228.0,0.0,311.0,2956.8336,2328.3648,628.4688
B11000290,0,1323435.0,0.0,0,1323435.0,0.0,281.0,2685.3408,2117.496,567.8448
B11000291,0,1402558.0,0.0,0,1402558.0,0.0,231.0,2710.8976,2244.0928,466.8048
B11000292,0,57637.0,0.0,0,57637.0,0.0,26.0,144.76,92.2192,52.5408
B11000293,0,87522.0,0.0,0,87522.0,0.0,58.0,257.2416,140.0352,117.2064
B11000294,0,41636.0,0.0,0,41636.0,0.0,26.0,119.1584,66.6176,52.5408
B11000295,0,51767.0,0.0,0,51767.0,0.0,23.0,129.3056,82.8272,46.4784
B11000296,0,106321.0,0.0,0,106321.0,0.0,63.0,297.424,170.1136,127.3104
B11000297,0,58097.0,0.0,0,58097.0,0.0,31.0,155.6,92.9552,62.6448
B11000298,0,56822.0,0.0,0,56822.0,0.0,31.0,153.56,90.9152,62.6448
B11000299,0,25104.0,0.0,0,25104.0,0.0,16.0,72.4992,40.1664,32.3328
B11000300,0,31164.0,0.0,0,31164.0,0.0,18.0,86.2368,49.8624,36.3744
B11000301,0,42423.0,0.0,0,42423.0,0.0,24.0,116.376,67.8768,48.4992
B11000302,0,28855.0,0.0,0,28855.0,0.0,17.0,80.5216,46.168,34.3536
B11000303,0,33690.0,0.0,0,33690.0,0.0,18.0,90.2784,53.904,36.3744
B11000304,0,49260.0,0.0,0,49260.0,0.0,29.0,137.4192,78.816,58.6032
B11000305,0,37092.0,0.0,0,37092.0,0.0,18.0,95.7216,59.3472,36.3744
B11000306,0,54972.0,0.0,0,54972.0,0.0,29.0,146.5584,87.9552,58.6032
B11000307,0,416641.0,0.0,0,416641.0,0.0,138.0,945.496,666.6256,278.8704
B11000308,0,808159.0,0.0,0,808159.0,0.0,183.0,1662.8608,1293.0544,369.8064
B11000311,0,603543.0,0.0,0,603543.0,0.0,138.0,1244.5392,965.6688,278.8704
B11000312,0,1448699.0,0.0,0,1448699.0,0.0,315.0,2954.4704,2317.9184,636.552
B11000313,0,1071628.0,0.0,0,1071628.0,0.0,242.0,2203.6384,1714.6048,489.0336
B11000314,0,895032.0,0.0,0,895032.0,0.0,216.0,1868.544,1432.0512,436.4928
B11000316,0,49999.0,0.0,0,49999.0,0.0,36.0,152.7472,79.9984,72.7488
B11000317,0,29728.0,0.0,0,29728.0,0.0,17.0,81.9184,47.5648,34.3536
B11000318,0,44186.0,0.0,0,44186.0,0.0,20.0,111.1136,70.6976,40.416
B11000319,0,50636.0,0.0,0,50636.0,0.0,23.0,127.496,81.0176,46.4784
B11000320,0,22303.0,0.0,0,22303.0,0.0,12.0,59.9344,35.6848,24.2496
B11000322,0,38558.0,0.0,0,38558.0,0.0,29.0,120.296,61.6928,58.6032
B11000324,0,36831.0,0.0,0,36831.0,0.0,19.0,97.3248,58.9296,38.3952
B11000325,0,29444.0,0.0,0,29444.0,0.0,19.0,85.5056,47.1104,38.3952
B11000326,0,52244.0,0.0,0,52244.0,0.0,26.0,136.1312,83.5904,52.5408
B11000328,0,214999.0,0.0,0,214999.0,0.0,71.0,487.4752,343.9984,143.4768
B11000330,0,186065.0,0.0,0,186065.0,0.0,43.0,384.5984,297.704,86.8944
B11000331,0,241446.0,0.0,0,241446.0,0.0,76.0,539.8944,386.3136,153.5808
B11000332,0,233276.0,0.0,0,233276.0,0.0,75.0,524.8016,373.2416,151.56
B11000334,0,147692.0,0.0,0,147692.0,0.0,53.0,343.4096,236.3072,107.1024
B11000335,0,50502.0,0.0,0,50502.0,0.0,30.0,141.4272,80.8032,60.624
B11000336,0,22982.0,0.0,0,22982.0,0.0,15.0,67.0832,36.7712,30.312
B11000337,0,720344.0,0.0,0,720344.0,0.0,173.0,1502.1488,1152.5504,349.5984
B11000338,0,1167149.0,0.0,0,1167149.0,0.0,283.0,2439.3248,1867.4384,571.8864
B11000339,0,1298840.0,0.0,0,1298840.0,0.0,303.0,2690.4464,2078.144,612.3024
B11000340,0,599093.0,0.0,0,599093.0,0.0,157.0,1275.8144,958.5488,317.2656
B11000341,0,426980.0,0.0,0,426980.0,0.0,126.0,937.7888,683.168,254.6208
B11000342,0,224926.0,0.0,0,224926.0,0.0,95.0,551.8576,359.8816,191.976
B11000343,0,148348.0,0.0,0,148348.0,0.0,54.0,346.48,237.3568,109.1232
B11000344,0,576056.0,0.0,0,576056.0,0.0,129.0,1182.3728,921.6896,260.6832
B11000345,0,1081083.0,0.0,0,1081083.0,0.0,242.0,2218.7664,1729.7328,489.0336
B11000346,0,1133456.0,0.0,0,1133456.0,0.0,246.0,2310.6464,1813.5296,497.1168
B11000347,0,1042440.0,0.0,0,1042440.0,0.0,268.0,2209.4784,1667.904,541.5744
B11000348,0,551288.0,0.0,0,551288.0,0.0,161.0,1207.4096,882.0608,325.3488
B11000349,0,1788502.0,0.0,0,1788502.0,0.0,363.0,3595.1536,2861.6032,733.5504
