name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11001603,5,290266.0,41644.49999999999,30.0,255830.30506716872,6365.079365079365,137.6,749.95644,399.14436,278.06208
B11001604,5,214127.0,17911.613171899997,12.903226,202591.59365584265,6365.079365079365,142.0,643.31925,313.96242,286.9536
B11001605,5,381664.0,61078.59999999999,44.0,328368.3988211445,6365.079365079365,98.0,810.84371,515.20531,198.0384
B11001606,5,275849.0,81298.53607725001,58.536585,201066.86987547597,6365.079365079365,51.97561,539.95762,311.52287,105.03231
B11001607,5,837860.0,148279.65656699997,106.81818,698147.9800536023,6143.809523809524,291.0,1904.3617,1107.2067,588.0528
B11001608,5,1512478.0,436496.0493859999,314.44444,1089713.6613718057,6143.809523809524,328.85556,2975.9019,1733.7118,664.55131
B11001609,5,1012157.0,259257.4321865,186.76471,765993.063997097,6143.809523809524,209.0,1989.1134,1215.7588,422.3472
B11001610,5,401234.0,79995.08523985,57.627119,328486.79109913605,6143.809523809524,161.35593,963.60497,515.74877,326.06807
B11001611,5,225151.0,52714.5575946,37.974684,178823.85965710098,5973.492063492064,59.101266,482.89749,276.56059,119.43184
B11001612,5,126372.0,25239.0906567,18.181818,107150.1847924464,5973.492063492064,40.0,294.48744,161.88271,80.832
B11001613,5,1011698.0,168829.05180299998,121.62162,849691.7301591032,5969.682539682541,192.0,1973.3273,1349.9553,387.9936
B11001614,5,555532.0,96102.69198734999,69.230769,465887.8639090512,5969.682539682541,90.153846,1060.4366,735.86909,182.18289
B11001615,5,343259.0,42494.38789675,30.612245,307034.0418207086,5969.682539682541,92.693878,742.8555,481.70297,187.31579
B11001616,5,1905686.0,445669.20833449997,321.05263,1473146.9743823833,5969.682539682541,455.78947,3857.9115,2347.4837,921.05937
B11001617,5,201801.0,37561.706535599995,27.058824,170225.2363732742,5969.682539682541,51.0,433.3991,262.80889,103.0608
B11001618,5,573903.0,96102.69198734999,69.230769,484342.8337515236,5969.682539682541,129.0,1168.4649,765.39704,260.6832
