計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/04/15,23,27,,,14,8,,,,,
2013/04/15,24,36,,,16,8,,,,,
2013/04/16,01,52,,,37,8,,,,,
2013/04/16,02,43,,,35,8,,,,,
2013/04/16,03,27,,,18,8,,,,,
2013/04/16,04,29,,,15,8,,,,,
2013/04/16,05,29,,,15,8,,,,,
2013/04/16,06,29,,,18,8,,,,,
2013/04/16,07,41,,,18,10,,,,,
2013/04/16,08,49,,,30,13,,,,,
2013/04/16,09,44,,,29,14,,,,,
2013/04/16,10,43,,,21,17,,,,,
2013/04/16,11,44,,,17,22,,,,,
2013/04/16,12,49,,,20,21,,,,,
2013/04/16,13,43,,,20,22,,,,,
2013/04/16,14,34,,,14,18,,,,,
2013/04/16,15,34,,,16,15,,,,,
2013/04/16,16,30,,,15,13,,,,,
2013/04/16,17,28,,,14,12,,,,,
2013/04/16,18,25,,,11,11,,,,,
2013/04/16,19,24,,,10,9,,,,,
2013/04/16,20,25,,,13,9,,,,,
2013/04/16,21,23,,,11,9,,,,,
2013/04/16,22,22,,,9,8,,,,,
2013/04/16,23,24,,,10,8,,,,,
2013/04/16,24,33,,,12,8,,,,,
2013/04/17,01,50,,,32,8,,,,,
2013/04/17,02,35,,,32,8,,,,,
2013/04/17,03,26,,,16,8,,,,,
2013/04/17,04,28,,,14,8,,,,,
2013/04/17,05,29,,,17,8,,,,,
2013/04/17,06,30,,,14,8,,,,,
2013/04/17,07,44,,,17,11,,,,,
2013/04/17,08,81,,,29,30,,,,,
2013/04/17,09,76,,,32,37,,,,,
2013/04/17,10,75,,,27,40,,,,,
2013/04/17,11,81,,,29,40,,,,,
2013/04/17,12,82,,,34,39,,,,,
2013/04/17,13,80,,,29,42,,,,,
2013/04/17,14,80,,,29,42,,,,,
2013/04/17,15,84,,,31,44,,,,,
2013/04/17,16,81,,,26,44,,,,,
2013/04/17,17,84,,,31,43,,,,,
2013/04/17,18,73,,,34,41,,,,,
2013/04/17,19,43,,,21,27,,,,,
2013/04/17,20,32,,,18,11,,,,,
2013/04/17,21,29,,,17,9,,,,,
2013/04/17,22,29,,,14,9,,,,,
2013/04/17,23,36,,,20,9,,,,,
2013/04/17,24,45,,,27,9,,,,,
2013/04/18,01,50,,,35,8,,,,,
2013/04/18,02,37,,,31,9,,,,,
2013/04/18,03,28,,,17,8,,,,,
2013/04/18,04,30,,,16,8,,,,,
2013/04/18,05,30,,,19,8,,,,,
2013/04/18,06,29,,,15,8,,,,,
2013/04/18,07,47,,,18,10,,,,,
2013/04/18,08,72,,,29,29,,,,,
2013/04/18,09,73,,,29,34,,,,,
